player_name,conf,yr,role,Min_per,pts
Courtney Ramey,B12,Sr,Scoring PG,79.5,12.2308
Dontarius James,MEAC,Sr,Wing F,69.3,17.4545
Desi Sills,SB,Sr,Combo G,51.5,7.4688
Keyshawn Embery-Simpson,Amer,Jr,Wing G,60.4,7.3478
Ethan Henderson,SEC,Sr,C,8.6,1.1667
Devonaire Doutrive,MWC,Sr,Wing G,38.4,8.8889
Adam Thistlewood,MWC,Sr,Wing F,74.0,9.3448
Jared Rhoden,BE,Sr,Wing G,85.2,14.8889
Anthony Nelson,MAAC,Sr,Combo G,76.7,13.4
Matthew Mayer,B12,Sr,Wing F,38.4,8.1
Josh Roberts,MAAC,Sr,C,24.2,2.6
Evan Battey,P12,Sr,PF/C,64.1,10.0625
Andrew Taylor,CUSA,Jr,Combo G,81.9,11.9545
Deng Gak,ACC,Sr,C,32.2,2.16
Javian Davis,SEC,Jr,Stretch 4,25.3,2.6207
Alexis Yetna,BE,Sr,PF/C,50.2,9.5
Timmy Allen,B12,Sr,Wing G,86.9,17.16
Tamell Pearson,Sum,Sr,C,69.9,10.3636
Prince Toyambi,SB,Jr,PF/C,41.0,5.7308
Aundre Hyatt,B10,Jr,Stretch 4,32.8,4.1667
Myles Johnson,P12,Sr,C,61.5,7.9643
Flynn Cameron,BW,Sr,Wing G,68.0,8.8636
Ajiri Ogemuno-Johnson,MAAC,Sr,C,49.8,7.6957
Mekhi Long,CUSA,Jr,Wing F,35.7,4.6842
Giordan Williams,WCC,Jr,Wing G,37.4,5.6
Jalen Williams,WCC,Jr,Wing G,74.7,11.5
Chase Paar,CAA,Jr,PF/C,50.7,5.3125
DaJuan Gordon,SEC,Jr,Wing G,61.0,9.12
Jaden Bediako,WCC,Jr,C,37.1,3.55
Keion Brooks Jr.,SEC,Jr,PF/C,35.7,10.3125
Armando Bacot,ACC,Jr,C,56.6,12.3448
Max Agbonkpolo,P12,Jr,Wing F,40.1,3.8788
Emanuel Miller,B12,Jr,PF/C,73.8,16.2353
Jonathan Aku,WAC,Jr,C,36.8,1.7778
Andre Gordon,SEC,Jr,Combo G,68.3,8.3333
Brandon Stone,Horz,Jr,C,2.9,1.25
De'Vion Harmon,P12,Jr,Combo G,72.7,12.88
Victor Iwuakor,MWC,Jr,PF/C,22.7,2.8696
Jalen Hill,B12,Jr,Wing F,39.6,4.4
Toumani Camara,A10,Jr,PF/C,67.8,12.76
Donovan Gregory,SB,Jr,Wing G,77.4,10.6786
Cole Bajema,P12,Jr,Wing G,35.2,3.0833
Mika Adams-Woods,Amer,Jr,Combo G,74.3,8.4348
David Skogman,MAC,So,PF/C,11.8,2.9286
Ben Roderick,MAC,Jr,Wing G,63.3,12.3913
Kobe Langley,SC,Jr,Scoring PG,25.4,1.7407
Eli Lawrence,CUSA,Jr,Wing F,34.9,5.1
Mickey Pearson Jr.,MAC,So,Stretch 4,13.6,1.2105
Yuri Collins,A10,Jr,Pure PG,63.9,5.1053
Samuell Williamson,ACC,Jr,PF/C,64.0,9.6111
Terrence Hargrove Jr.,A10,Jr,Wing G,22.9,4.1579
Kendall Lewis,MVC,Jr,Wing G,12.1,9.8889
Jalyn McCreary,Amer,Jr,C,26.8,5.1176
Wildens Leveque,SEC,Jr,C,46.3,6.1429
Jaime Jaquez Jr.,P12,Jr,Wing F,84.4,12.3438
De'Sean Allen-Eikens,Slnd,Jr,Wing G,8.6,4.8
Goran Miladinovic,CUSA,Jr,C,23.6,3.2727
James Bishop,A10,Jr,Pure PG,89.8,19.1176
Isaiah Cozart,CUSA,Jr,PF/C,5.6,1.6364
Trae Hannibal,OVC,Jr,Combo G,39.5,5.95
Robert Jones,B12,Jr,C,35.2,9.0667
Chol Marial,P12,Jr,C,8.3,1.6111
Hakim Hart,B10,Jr,Wing G,64.0,7.0968
John Ojiako,ACC,Jr,PF/C,1.8,0.4
Nahiem Alleyne,ACC,Jr,Combo G,69.7,11.0909
Ismael Massoud,B12,Jr,Wing F,54.3,8.2727
Tre' Williams,P12,Jr,Wing G,42.8,5.7778
Armaan Franklin,ACC,Jr,Combo G,59.5,11.3636
Max Fiedler,CUSA,Jr,C,70.9,11.2143
Anthony Holland,MWC,Jr,Wing G,65.5,5.4545
Noah Williams,P12,Jr,Scoring PG,72.9,14.1111
Tylan Pope,Amer,So,Wing F,36.4,5.6957
Nobal Days,Amer,Jr,Stretch 4,45.9,1.7727
Alex Hemenway,ACC,Jr,Combo G,39.3,4.6667
Jamir Chaplin,Amer,Jr,Wing G,39.8,5.2727
B.J. Mack,SC,Jr,Stretch 4,36.8,6.7619
DJ Harvey,Horz,Sr,Wing F,45.0,6.3478
Kofi Cockburn,B10,Jr,C,66.7,17.6774
Malik Hall,B10,Jr,Wing F,43.6,4.9643
Allen Flanigan,SEC,Jr,Wing G,75.2,14.2593
Jaylin Williams,SEC,Jr,Stretch 4,65.3,10.9259
Julius Marble II,B10,Jr,PF/C,22.4,4.037
Khalif Battle,Amer,Jr,Wing G,54.1,15.0
Damion Baugh,B12,Jr,Combo G,45.4,3.3846
Dereon Seabron,ACC,So,Wing F,40.7,5.1667
Boogie Ellis,P12,Jr,Combo G,58.4,10.1786
Amari Davis,SEC,Jr,Wing G,86.0,17.24
